Time,Rack1,Rack2,Rack3,Rack4,Rack5,Rack6,Rack7,Rack8,Rack9,Rack10,Rack11,Rack12,Rack13,Rack14,Rack15,Rack16,Rack17,Rack18,Rack19,Rack20
0,10.87664877,8.987142922,6.173045469,3.197554963,5.173521589,5.60937835,8.535929933,13.05403141,16.23051536,14.6938441,5.999831205,14.74451045,16.75914632,15.47288457,16.1509957,16.03617365,17.23693219,19.42507045,17.0505456,20.40030565
300,10.86698986,8.983449373,6.175145716,3.197554963,5.17507551,5.609136442,8.537533225,13.0551044,16.21787477,14.69721734,6.000607447,14.75436641,16.75953899,15.46787571,16.1509957,16.03617365,17.23614869,19.42976398,17.06346268,20.42459957
600,10.85733095,8.979755824,6.177245963,3.197554963,5.176629431,5.608894533,8.539136518,13.05617739,16.20523419,14.70059059,6.001383689,14.76422237,16.75993166,15.46286685,16.1509957,16.03617365,17.23536519,19.4344575,17.07637976,20.44889349
900,10.84767204,8.976062276,6.17934621,3.197554963,5.178183352,5.608652624,8.540739811,13.05725039,16.1925936,14.70396383,6.002159931,14.77407832,16.76032433,15.45785799,16.1509957,16.03617365,17.2345817,19.43915103,17.08929684,20.47318741
1200,10.83801313,8.972368727,6.181446456,3.197554963,5.179737274,5.608410716,8.542343103,13.05832338,16.17995301,14.70733707,6.002936172,14.78393428,16.760717,15.45284913,16.1509957,16.03617365,17.2337982,19.44384456,17.10221392,20.49748134
1500,10.82835422,8.968675178,6.183546703,3.197554963,5.181291195,5.608168807,8.543946396,13.05939637,16.16731242,14.71071031,6.003712414,14.79379023,16.76110967,15.44784027,16.1509957,16.03617365,17.2330147,19.44853808,17.115131,20.52177526
1800,10.81869531,8.964981629,6.18564695,3.197554963,5.182845116,5.607926898,8.545549688,13.06046937,16.15467183,14.71408356,6.004488656,14.80364619,16.76150234,15.44283141,16.1509957,16.03617365,17.23223121,19.45323161,17.12804808,20.54606918
2100,10.8090364,8.96128808,6.187747197,3.197554963,5.184399037,5.60768499,8.547152981,13.06154236,16.14203124,14.7174568,6.005264898,14.81350215,16.76189501,15.43782255,16.1509957,16.03617365,17.23144771,19.45792514,17.14096516,20.5703631
2400,10.79937748,8.957594532,6.189847444,3.197554963,5.185952958,5.607443081,8.548756274,13.06261535,16.12939066,14.72083004,6.006041139,14.8233581,16.76228768,15.43281369,16.1509957,16.03617365,17.23066421,19.46261866,17.15388224,20.59465702
2700,10.78971857,8.953900983,6.191947691,3.197554963,5.187506879,5.607201172,8.550359566,13.06368834,16.11675007,14.72420328,6.006817381,14.83321406,16.76268035,15.42780483,16.1509957,16.03617365,17.22988072,19.46731219,17.16679932,20.61895094
3000,10.78005966,8.950207434,6.194047937,3.197554963,5.189060801,5.606959264,8.551962859,13.06476134,16.10410948,14.72757653,6.007593623,14.84307002,16.76307302,15.42279598,16.1509957,16.03617365,17.22909722,19.47200572,17.1797164,20.64324486
3300,10.77040075,8.946513885,6.196148184,3.197554963,5.190614722,5.606717355,8.553566152,13.06583433,16.09146889,14.73094977,6.008369865,14.85292597,16.76346569,15.41778712,16.1509957,16.03617365,17.22831372,19.47669924,17.19263348,20.66753878
3600,10.76074184,8.942820337,6.198248431,3.197554963,5.192168643,5.606475446,8.555169444,13.06690732,16.0788283,14.73432301,6.009146106,14.86278193,16.76385836,15.41277826,16.1509957,16.03617365,17.22753023,19.48139277,17.20555056,20.69183271
3900,10.75108293,8.939126788,6.200348678,3.197554963,5.193722564,5.606233538,8.556772737,13.06798032,16.06618771,14.73769625,6.009922348,14.87263788,16.76425103,15.4077694,16.1509957,16.03617365,17.22674673,19.4860863,17.21846764,20.71612663
4200,10.74142402,8.935433239,6.202448925,3.197554963,5.195276485,5.605991629,8.558376029,13.06905331,16.05354713,14.7410695,6.01069859,14.88249384,16.7646437,15.40276054,16.1509957,16.03617365,17.22596323,19.49077982,17.23138472,20.74042055
4500,10.73176511,8.93173969,6.204549172,3.197554963,5.196830407,5.60574972,8.559979322,13.0701263,16.04090654,14.74444274,6.011474832,14.8923498,16.76503637,15.39775168,16.1509957,16.03617365,17.22517973,19.49547335,17.2443018,20.76471447
